type,features__geometry__coordinates__001,features__geometry__coordinates__002,features__geometry__type,features__properties__Google Maps URL,features__properties__Location__Latitude,features__properties__Location__Longitude,features__properties__Location__Address,features__properties__Location__Business Name,features__properties__Location__Country Code,features__properties__Location__Geo Coordinates__Latitude,features__properties__Location__Geo Coordinates__Longitude,features__properties__Published,features__properties__Title,features__properties__Updated,features__type
,19.9451805,50.0527934,Point,http://maps.google.com/?cid=780795039348731614,,,"Miodowa 25, 31-055 Kraków, Poland",Kuchnia Domowa,PL,50.0527934,19.9451805,2020-01-20T21:27:01Z,Kuchnia Domowa,2020-01-20T21:27:01Z,Feature
,19.944145,50.0514571,Point,http://maps.google.com/?cid=4459105062116944409,,,"Beera Meiselsa 22, 31-058 Kraków, Poland",Restauracja Polska,PL,50.0514571,19.944145,2020-01-20T21:25:05Z,Restauracja Polska,2020-01-20T21:25:05Z,Feature
,19.9449854,50.052196,Point,http://maps.google.com/?cid=8579470958696154175,,,"Estery 5, 31-056 Kraków, Poland",Alchemia od Kuchni,PL,50.052196,19.9449854,2020-01-20T21:24:37Z,Alchemia od Kuchni,2020-01-20T21:24:37Z,Feature
,19.945034,50.0526879,Point,http://maps.google.com/?cid=12906121907273775203,,,"Miodowa 23, 31-055 Kraków, Poland",Cytat Cafè,PL,50.0526879,19.945034,2020-01-20T14:58:58Z,Cytat Cafè,2020-01-20T14:58:58Z,Feature
,19.9393369,50.0547251,Point,http://maps.google.com/?cid=4150633778689694043,,,"Świętej Gertrudy 26/29, 31-048 Kraków, Poland",Pod Wawelem Kompania Kuflowa,PL,50.0547251,19.9393369,2020-01-19T14:14:57Z,Pod Wawelem Kompania Kuflowa,2020-01-19T14:14:57Z,Feature
,19.9447536,50.0514583,Point,http://maps.google.com/?cid=4282859930091140544,,,"plac Nowy 3, 31-056 Kraków, Poland",Haha bar & grill na Kazimierzu,PL,50.0514583,19.9447536,2020-01-19T10:42:30Z,Haha bar & grill na Kazimierzu,2020-01-19T10:42:30Z,Feature
,19.945267,50.0486613,Point,http://maps.google.com/?cid=5574711197903675931,,,"Bocheńska 2a, 31-061 Kraków, Poland",The BlueBerry Resto & Bar,PL,50.0486613,19.945267,2020-01-19T00:22:24Z,The BlueBerry Resto & Bar,2020-01-19T00:22:24Z,Feature
,19.9433402,50.050514,Point,http://maps.google.com/?cid=13546005940621083374,,,"Józefa 6, 31-056 Kraków, Poland",Strefa Piwa Pub,PL,50.050514,19.9433402,2020-01-19T00:21:17Z,Strefa Piwa Pub,2020-01-19T00:21:17Z,Feature
,-0.14129,51.552017,Point,http://maps.google.com/?cid=2302144528124002168,,,"2 Highgate Road, London NW5 1NR, United Kingdom",Ladies and Gentleman,GB,51.552017,-0.14129,2020-01-17T21:50:22Z,Ladies and Gentleman,2020-01-17T21:50:22Z,Feature
,-0.1461834,51.5560675,Point,http://maps.google.com/?cid=186543902284593498,,,"139 Highgate Road, London NW5 1LE, United Kingdom",Southampton Arms,GB,51.5560675,-0.1461834,2020-01-17T21:48:10Z,Southampton Arms,2020-01-17T21:48:10Z,Feature
